"","player","i","pos","age","tm","g","mp_per_game","fg","fga","fgpercent","x3p","x3pa","x3ppercent","x2p","x2pa","x2ppercent","efgpercent","ft","fta","ftpercent","orb","drb","trb","ast","stl","blk","tov","pf","ps_g","mp_total","per","tspercent","x3par","ftr","orbpercent","drbpercent","astpercent","stlpercent","blkpercent","tovpercent","usgpercent","ows","dws","ws","ws_48","obpm","dbpm","vorp"
"391","James Harden",2018,"SG",28,"HOU",72,35.4,9,20.1,0.449,3.7,10,0.367,5.4,10.1,0.531,0.541,8.7,10.1,0.858,0.6,4.8,5.4,8.8,1.8,0.7,4.4,2.3,30.4,2551,29.8,0.619,0.498,0.502,1.8,15.2,45.1,2.4,1.7,15.1,36.1,11.6,3.8,15.4,0.289,9.6,1.3,8.3
"392","James Worthy",1986,"SF",24,"LAL",75,32.7,8.4,14.5,0.579,0,0.2,0,8.4,14.3,0.586,0.579,3.2,4.2,0.771,1.8,3.3,5.1,2.7,1.1,1,2,2.6,20,2454,20.4,0.613,0.012,0.289,6.6,11.1,11.5,1.6,1.7,10.9,22.6,6.7,2.7,9.5,0.185,3.5,0.5,3.7
"393","James Worthy",1987,"SF",25,"LAL",82,34.4,7.9,14.7,0.539,0,0.2,0,7.9,14.6,0.545,0.539,3.6,4.7,0.751,1.9,3.8,5.7,2.8,1.3,1,2,2.5,19.4,2819,18.4,0.578,0.011,0.322,6.7,11.4,11.2,1.8,1.6,10.9,22.3,5.9,3.4,9.3,0.158,1.9,0.4,3.1
"394","James Worthy",1988,"SF",26,"LAL",75,35.4,8.2,15.5,0.531,0,0.2,0.125,8.2,15.3,0.537,0.532,3.2,4.1,0.796,1.7,3.3,5,3.9,1,0.7,2.1,2.3,19.7,2655,18.2,0.571,0.014,0.262,5.8,10,16.2,1.3,1.2,10.7,22.8,5.5,2.4,7.9,0.143,2.2,-0.2,2.7
"395","James Worthy",1989,"SF",27,"LAL",81,36.5,8.7,15.8,0.548,0,0.3,0.087,8.6,15.5,0.556,0.548,3.1,4,0.782,2.1,4,6.1,3.6,1.3,0.7,2.2,2.2,20.5,2960,19,0.582,0.018,0.25,6.8,11.3,14.6,1.7,1.1,11.3,22.4,6.6,3.1,9.7,0.158,2.8,0.3,3.8
"396","James Worthy",1990,"SF",28,"LAL",80,37,8.9,16.2,0.548,0.2,0.6,0.306,8.7,15.6,0.557,0.554,3.1,4,0.782,2,4,6,3.6,1.2,0.6,2,2.4,21.1,2960,19.8,0.586,0.038,0.244,6.4,11.9,15.6,1.7,1,10,23,7.5,3.1,10.6,0.172,3.6,0.4,4.5
"397","James Worthy",1991,"SF",29,"LAL",78,38.6,9.2,18.7,0.492,0.3,1.2,0.289,8.8,17.5,0.505,0.501,2.7,3.4,0.797,1.4,3.2,4.6,3.5,1.3,0.4,1.6,1.5,21.4,3008,18.1,0.531,0.062,0.183,4.3,9.2,15.1,1.8,0.7,7.5,24.6,5.5,3.5,9,0.143,2,0.3,3.2
"398","James Worthy",1992,"SF",30,"LAL",54,39,8.3,18.6,0.447,0.2,0.8,0.209,8.2,17.9,0.457,0.451,3.1,3.8,0.814,1.8,3.8,5.6,4.7,1.4,0.4,2.4,1.6,19.9,2108,16.7,0.49,0.043,0.203,5.2,11.4,20.3,1.9,0.7,10.4,25.4,1.4,1.6,3.1,0.07,1,-0.3,1.5
"399","Jason Kidd",1996,"PG",22,"DAL",81,37.5,6.1,16,0.381,1.6,4.9,0.336,4.4,11.1,0.401,0.433,2.8,4.1,0.692,2.5,4.3,6.8,9.7,2.2,0.3,4,1.9,16.6,3034,17.8,0.468,0.306,0.256,6.5,13.3,41.5,2.9,0.6,18.6,24.3,1.7,2.6,4.3,0.068,2.1,0.6,3.5
"400","Jason Kidd",1998,"PG",24,"PHO",82,38,4.4,10.5,0.416,0.9,2.8,0.313,3.5,7.6,0.454,0.458,2,2.5,0.799,1.3,4.9,6.2,9.1,2,0.3,3.2,1.7,11.6,3118,16.4,0.502,0.271,0.243,4.1,14.7,35.6,2.7,0.6,21.5,17.6,3.2,4.8,8,0.123,1.1,2,4
