"Name","Pos","Team","Week","Date","Opp","Home","Result","Score","Played","Started","Receptions","RecYds","RecLong","RecTDs","RushAtt","RushYds","RushLong","RushTDs","FumLost"
"A.J. Green","WR","CIN",14,"12/10","CHI",1,"L","7-33",1,1,5,64,"20",0,0,0,"0",0,1
"A.J. Green","WR","CIN",15,"12/17","MIN",0,"L","7-34",1,1,2,30,"16",0,0,0,"0",0,0
"A.J. Green","WR","CIN",16,"12/24","DET",1,"W","26-17",1,1,6,81,"18",0,0,0,"0",0,0
"A.J. Green","WR","CIN",17,"12/31","BAL",0,"W","31-27",1,1,2,17,"11",0,0,0,"0",0,0
"Travis Kelce","TE","KC",1,"09/07","NE",0,"W","42-27",1,1,5,40,"14",0,1,4,"4",0,0
"Travis Kelce","TE","KC",2,"09/17","PHI",1,"W","27-20",1,1,8,103,"44",1,0,0,"0",0,0
"Travis Kelce","TE","KC",3,"09/24","LAC",0,"W","24-10",1,1,1,1,"1",0,0,0,"0",0,0
"Travis Kelce","TE","KC",4,"10/02","WAS",1,"W","29-20",1,1,7,111,"32",1,1,3,"3",0,0
"Travis Kelce","TE","KC",5,"10/08","HOU",0,"W","42-34",1,1,8,98,"26",0,0,0,"0",0,0
"Travis Kelce","TE","KC",6,"10/15","PIT",1,"L","13-19",1,1,4,37,"23",0,0,0,"0",0,0
"Travis Kelce","TE","KC",7,"10/19","OAK",0,"L","30-31",1,1,4,33,"10T",1,0,0,"0",0,0
"Travis Kelce","TE","KC",8,"10/30","DEN",1,"W","29-19",1,1,7,133,"33",1,0,0,"0",0,0
"Travis Kelce","TE","KC",9,"11/05","DAL",0,"L","17-28",1,1,7,73,"22",1,0,0,"0",0,0
"Travis Kelce","TE","KC",11,"11/19","NYG",0,"L","9-12",1,1,8,109,"32",0,0,0,"0",0,0
"Travis Kelce","TE","KC",12,"11/26","BUF",1,"L","10-16",1,1,3,39,"25",0,0,0,"0",0,0
"Travis Kelce","TE","KC",13,"12/03","NYJ",0,"L","31-38",1,1,4,94,"36T",2,0,0,"0",0,0
"Travis Kelce","TE","KC",14,"12/10","OAK",1,"W","26-15",1,1,7,74,"20",0,0,0,"0",0,0
"Travis Kelce","TE","KC",15,"12/16","LAC",1,"W","30-13",1,1,6,46,"21",0,0,0,"0",0,0
"Travis Kelce","TE","KC",16,"12/24","MIA",1,"W","29-13",1,1,4,47,"18",1,0,0,"0",0,0
"Golden Tate","WR","DET",1,"09/10","ARI",1,"W","35-23",1,1,10,107,"19",0,2,7,"6",0,0
"Golden Tate","WR","DET",2,"09/18","NYG",0,"W","24-10",1,1,4,25,"10",0,0,0,"0",0,0
"Golden Tate","WR","DET",3,"09/24","ATL",1,"L","26-30",1,1,7,58,"18",1,0,0,"0",0,0
"Golden Tate","WR","DET",4,"10/01","MIN",0,"W","14-7",1,1,3,29,"12",0,1,2,"2",0,0
"Golden Tate","WR","DET",5,"10/08","CAR",1,"L","24-27",1,1,5,48,"22",0,0,0,"0",0,0
"Golden Tate","WR","DET",6,"10/15","NO",0,"L","38-52",1,1,7,96,"45T",1,0,0,"0",0,0
"Golden Tate","WR","DET",8,"10/29","PIT",1,"L","15-20",1,0,7,86,"34",0,0,0,"0",0,1
"Golden Tate","WR","DET",9,"11/06","GB",0,"W","30-17",1,1,7,113,"23",0,0,0,"0",0,0
"Golden Tate","WR","DET",10,"11/12","CLE",1,"W","38-24",1,1,6,97,"40T",1,0,0,"0",0,0
"Golden Tate","WR","DET",11,"11/19","CHI",0,"W","27-24",1,1,3,32,"16",0,0,0,"0",0,0
"Golden Tate","WR","DET",12,"11/23","MIN",1,"L","23-30",1,1,4,7,"3",0,2,13,"10",0,0
"Golden Tate","WR","DET",13,"12/03","BAL",0,"L","20-44",1,0,8,69,"24",0,0,0,"0",0,0
"Golden Tate","WR","DET",14,"12/10","TB",0,"W","24-21",1,1,8,85,"24",1,0,0,"0",0,0
"Golden Tate","WR","DET",15,"12/16","CHI",1,"W","20-10",1,0,3,33,"19",0,0,0,"0",0,0
"Golden Tate","WR","DET",16,"12/24","CIN",0,"L","17-26",1,0,3,14,"14",0,0,0,"0",0,0
"Golden Tate","WR","DET",17,"12/31","GB",1,"W","35-11",1,1,7,104,"71T",1,0,0,"0",0,0
"Mike Evans","WR","TB",2,"09/17","CHI",1,"W","29-7",1,1,7,93,"18",1,0,0,"0",0,0
"Mike Evans","WR","TB",3,"09/24","MIN",0,"L","17-34",1,1,7,67,"17",0,0,0,"0",0,0
"Mike Evans","WR","TB",4,"10/01","NYG",1,"W","25-23",1,1,5,67,"31",1,0,0,"0",0,0
"Mike Evans","WR","TB",5,"10/05","NE",1,"L","14-19",1,1,5,49,"15",0,0,0,"0",0,0
"Mike Evans","WR","TB",6,"10/15","ARI",0,"L","33-38",1,1,3,95,"41",1,0,0,"0",0,0
"Mike Evans","WR","TB",7,"10/22","BUF",0,"L","27-30",1,1,7,88,"23",1,0,0,"0",0,0
"Mike Evans","WR","TB",8,"10/29","CAR",1,"L","3-17",1,1,5,60,"18",0,0,0,"0",0,0
"Mike Evans","WR","TB",9,"11/05","NO",0,"L","10-30",1,1,1,13,"13",0,0,0,"0",0,0
"Mike Evans","WR","TB",11,"11/19","MIA",0,"W","30-20",1,1,5,92,"29",0,0,0,"0",0,0
