"Name","Pos","Team","Week","Date","Opp","Home","Result","Score","Played","Started","RushAtt","RushYds","RushLong","RushTDs","Receptions","RecYds","RecLong","RecTDs","FumLost"
"Alex Collins","RB","BAL",6,"10/15","CHI",1,"L","24-27",1,1,15,74,"30",0,0,0,"0",0,0
"Alex Collins","RB","BAL",7,"10/22","MIN",0,"L","16-24",1,1,10,30,"8",0,0,0,"0",0,0
"Alex Collins","RB","BAL",8,"10/26","MIA",1,"W","40-0",1,1,18,113,"19",0,2,30,"27",0,0
"Alex Collins","RB","BAL",9,"11/05","TEN",0,"L","20-23",1,1,13,43,"14",0,1,3,"3",0,0
"Alex Collins","RB","BAL",11,"11/19","GB",0,"W","23-0",1,1,20,49,"9",1,4,22,"21",0,0
"Alex Collins","RB","BAL",12,"11/27","HOU",1,"W","23-16",1,1,16,60,"29",1,2,-3,"0",0,0
"Alex Collins","RB","BAL",13,"12/03","DET",1,"W","44-20",1,1,15,75,"11",2,2,23,"14",0,0
"Alex Collins","RB","BAL",14,"12/10","PIT",0,"L","38-39",1,1,18,120,"21",1,2,46,"37",0,0
"Alex Collins","RB","BAL",15,"12/17","CLE",0,"W","27-10",1,1,12,19,"6",0,5,33,"14",0,0
"Alex Collins","RB","BAL",16,"12/23","IND",1,"W","23-16",1,1,18,51,"14",0,3,15,"15",0,0
"Alex Collins","RB","BAL",17,"12/31","CIN",1,"L","27-31",1,1,20,78,"17T",1,2,18,"11",0,0
"Frank Gore","RB","IND",1,"09/10","LA",0,"L","9-46",1,1,10,42,"16",0,1,10,"10",0,0
"Frank Gore","RB","IND",2,"09/17","ARI",1,"L","13-16",1,1,14,46,"13",1,0,0,"0",0,0
"Frank Gore","RB","IND",3,"09/24","CLE",1,"W","31-28",1,1,25,57,"21",1,1,0,"0",0,0
"Frank Gore","RB","IND",4,"10/01","SEA",0,"L","18-46",1,1,12,46,"14",0,3,34,"19",0,0
"Frank Gore","RB","IND",5,"10/08","SF",1,"W","26-23",1,1,14,48,"16",0,3,38,"26",0,0
"Frank Gore","RB","IND",6,"10/16","TEN",0,"L","22-36",1,1,10,49,"12",0,2,18,"11",0,0
"Frank Gore","RB","IND",7,"10/22","JAX",1,"L","0-27",1,1,9,34,"7",0,0,0,"0",0,0
"Frank Gore","RB","IND",8,"10/29","CIN",0,"L","23-24",1,1,16,82,"15",0,4,19,"12",0,0
